crop_name,country_code,adm_id,harvest_year,sos,eos,crop_area,crop_area_percentage,latitude,longitude,region_area,awc,bulk_density,drainage_class,avg_ssm_z,avg_ndvi_z
wheat,IN,IN-01-0053,2007,297.812,95.229,45.5,0.297,14.66066,78.48131,15353.0,13.346,1.522,5.0,1.2400021172968692,0.7378326217922988
wheat,IN,IN-01-0053,2008,297.812,95.229,45.5,0.297,14.66066,78.48131,15353.0,13.346,1.522,5.0,1.230850503615518,-0.02569187015865261
wheat,IN,IN-01-0053,2009,297.812,95.229,45.5,0.297,14.66066,78.48131,15353.0,13.346,1.522,5.0,0.15281286990023915,-0.6129598011842318
wheat,IN,IN-01-0053,2010,297.812,95.229,45.5,0.297,14.66066,78.48131,15353.0,13.346,1.522,5.0,1.093049940246426,1.602886433317545
wheat,IN,IN-01-0053,2011,297.812,95.229,45.5,0.297,14.66066,78.48131,15353.0,13.346,1.522,5.0,0.6845328537604827,1.6351597368111481
wheat,IN,IN-01-0053,2013,297.812,95.229,45.5,0.297,14.66066,78.48131,15353.0,13.346,1.522,5.0,-0.6476304942198768,-0.3718072051905281
wheat,IN,IN-01-0053,2014,297.812,95.229,45.5,0.297,14.66066,78.48131,15353.0,13.346,1.522,5.0,-0.6829035083015197,-1.6079609842155518
wheat,IN,IN-01-0053,2016,297.812,95.229,45.5,0.297,14.66066,78.48131,15353.0,13.346,1.522,5.0,-0.5447731513512953,0.05501447391405475
wheat,IN,IN-01-0053,2017,297.812,95.229,45.5,0.297,14.66066,78.48131,15353.0,13.346,1.522,5.0,-0.7476876692620544,0.5401528665593103
wheat,IN,IN-02-0902,2003,342.462,101.769,696.0,21.895,26.18638,85.30032,3179.0,15.556,1.474,5.0,1.8177675797510973,-0.42349531096238524
wheat,IN,IN-02-0902,2004,342.462,101.769,696.0,21.895,26.18638,85.30032,3179.0,15.556,1.474,5.0,1.1346416427201702,-0.9379122150504415
wheat,IN,IN-02-0902,2005,342.462,101.769,696.0,21.895,26.18638,85.30032,3179.0,15.556,1.474,5.0,0.20755874666457616,-0.993622067751148
wheat,IN,IN-02-0902,2006,342.462,101.769,696.0,21.895,26.18638,85.30032,3179.0,15.556,1.474,5.0,0.0882868290957783,-0.5329901170775613
wheat,IN,IN-02-0902,2007,342.462,101.769,696.0,21.895,26.18638,85.30032,3179.0,15.556,1.474,5.0,1.5962587882061121,-1.6297950183458458
wheat,IN,IN-02-0902,2008,342.462,101.769,696.0,21.895,26.18638,85.30032,3179.0,15.556,1.474,5.0,1.328504185561683,-0.23210562919909447
wheat,IN,IN-02-0902,2009,342.462,101.769,696.0,21.895,26.18638,85.30032,3179.0,15.556,1.474,5.0,-0.6574275034464544,0.742500043302312
wheat,IN,IN-02-0902,2010,342.462,101.769,696.0,21.895,26.18638,85.30032,3179.0,15.556,1.474,5.0,-1.124192571670365,-1.0760479919739367
wheat,IN,IN-02-0902,2011,342.462,101.769,696.0,21.895,26.18638,85.30032,3179.0,15.556,1.474,5.0,-0.4052989172989352,0.8566049769407358
wheat,IN,IN-02-0902,2012,342.462,101.769,696.0,21.895,26.18638,85.30032,3179.0,15.556,1.474,5.0,-1.0153672612309426,0.49413488860215476
wheat,IN,IN-02-0902,2013,342.462,101.769,696.0,21.895,26.18638,85.30032,3179.0,15.556,1.474,5.0,-0.21199236762138343,1.578359317863891
wheat,IN,IN-02-0902,2014,342.462,101.769,696.0,21.895,26.18638,85.30032,3179.0,15.556,1.474,5.0,-0.45158267430610494,1.4277349763457896
wheat,IN,IN-02-0902,2015,342.462,101.769,696.0,21.895,26.18638,85.30032,3179.0,15.556,1.474,5.0,-1.056171921107136,0.8310195613048112
wheat,IN,IN-02-0902,2016,342.462,101.769,696.0,21.895,26.18638,85.30032,3179.0,15.556,1.474,5.0,-0.5690877048314118,0.5794929952474184
wheat,IN,IN-02-0902,2017,342.462,101.769,696.0,21.895,26.18638,85.30032,3179.0,15.556,1.474,5.0,-0.6818968504866735,1.07515094540904
wheat,IN,IN-02-0903,2003,342.776,102.093,589.7,23.439,26.10284,85.96836,2516.0,16.037,1.471,5.0,1.754506837293996,-0.21076219435209229
wheat,IN,IN-02-0903,2004,342.776,102.093,589.7,23.439,26.10284,85.96836,2516.0,16.037,1.471,5.0,1.441564094053239,-1.410289548740431
wheat,IN,IN-02-0903,2005,342.776,102.093,589.7,23.439,26.10284,85.96836,2516.0,16.037,1.471,5.0,0.30307228633214633,-0.3894381612004102
wheat,IN,IN-02-0903,2006,342.776,102.093,589.7,23.439,26.10284,85.96836,2516.0,16.037,1.471,5.0,0.020158521257586024,-0.8593719842914556
wheat,IN,IN-02-0903,2007,342.776,102.093,589.7,23.439,26.10284,85.96836,2516.0,16.037,1.471,5.0,1.5329380421986687,-2.0431240858818005
wheat,IN,IN-02-0903,2008,342.776,102.093,589.7,23.439,26.10284,85.96836,2516.0,16.037,1.471,5.0,1.2220282404301035,-0.2908889322803446
wheat,IN,IN-02-0903,2009,342.776,102.093,589.7,23.439,26.10284,85.96836,2516.0,16.037,1.471,5.0,-0.5659344919432479,-0.3640762272871548
wheat,IN,IN-02-0903,2010,342.776,102.093,589.7,23.439,26.10284,85.96836,2516.0,16.037,1.471,5.0,-1.0135920713895294,-0.35864152716288644
wheat,IN,IN-02-0903,2011,342.776,102.093,589.7,23.439,26.10284,85.96836,2516.0,16.037,1.471,5.0,-0.39245297433498844,1.0539596361136758
wheat,IN,IN-02-0903,2012,342.776,102.093,589.7,23.439,26.10284,85.96836,2516.0,16.037,1.471,5.0,-1.1179265815782522,0.8447084324513324
wheat,IN,IN-02-0903,2013,342.776,102.093,589.7,23.439,26.10284,85.96836,2516.0,16.037,1.471,5.0,-0.437468478158729,1.8520737122755837
wheat,IN,IN-02-0903,2014,342.776,102.093,589.7,23.439,26.10284,85.96836,2516.0,16.037,1.471,5.0,-0.5766796893034403,0.6503148641615913
wheat,IN,IN-02-0903,2015,342.776,102.093,589.7,23.439,26.10284,85.96836,2516.0,16.037,1.471,5.0,-0.9148709959592936,1.0145724879973155
wheat,IN,IN-02-0903,2016,342.776,102.093,589.7,23.439,26.10284,85.96836,2516.0,16.037,1.471,5.0,-0.565270254399784,0.7659665916555267
wheat,IN,IN-02-0903,2017,342.776,102.093,589.7,23.439,26.10284,85.96836,2516.0,16.037,1.471,5.0,-0.6900724844984509,0.8243115332195144
wheat,IN,IN-02-0904,2003,343.443,102.512,320.7,19.236,25.85904,86.5533,1667.0,16.678,1.428,5.0,1.8307232963677578,-0.4423595996540976
wheat,IN,IN-02-0904,2004,343.443,102.512,320.7,19.236,25.85904,86.5533,1667.0,16.678,1.428,5.0,1.6384066303258071,-0.8610968057491033
wheat,IN,IN-02-0904,2005,343.443,102.512,320.7,19.236,25.85904,86.5533,1667.0,16.678,1.428,5.0,0.2918025437283284,-1.3122540955699864
wheat,IN,IN-02-0904,2006,343.443,102.512,320.7,19.236,25.85904,86.5533,1667.0,16.678,1.428,5.0,-0.09108361264405085,-0.3725839096878584
wheat,IN,IN-02-0904,2007,343.443,102.512,320.7,19.236,25.85904,86.5533,1667.0,16.678,1.428,5.0,1.415729716199992,-0.8005015704162596
wheat,IN,IN-02-0904,2008,343.443,102.512,320.7,19.236,25.85904,86.5533,1667.0,16.678,1.428,5.0,1.089568232964203,-0.5699880291967215
wheat,IN,IN-02-0904,2009,343.443,102.512,320.7,19.236,25.85904,86.5533,1667.0,16.678,1.428,5.0,-0.40777781473585967,0.055948867219480794
wheat,IN,IN-02-0904,2010,343.443,102.512,320.7,19.236,25.85904,86.5533,1667.0,16.678,1.428,5.0,-0.9434334213132438,-0.5874690921451592
wheat,IN,IN-02-0904,2011,343.443,102.512,320.7,19.236,25.85904,86.5533,1667.0,16.678,1.428,5.0,-0.4573697032169281,-0.23966944302658633
wheat,IN,IN-02-0904,2012,343.443,102.512,320.7,19.236,25.85904,86.5533,1667.0,16.678,1.428,5.0,-1.0695743622536729,-0.14017998399302092
wheat,IN,IN-02-0904,2013,343.443,102.512,320.7,19.236,25.85904,86.5533,1667.0,16.678,1.428,5.0,-0.6905535786168323,1.7554361904530855
wheat,IN,IN-02-0904,2014,343.443,102.512,320.7,19.236,25.85904,86.5533,1667.0,16.678,1.428,5.0,-0.7401957485607311,0.8502853069529398
wheat,IN,IN-02-0904,2015,343.443,102.512,320.7,19.236,25.85904,86.5533,1667.0,16.678,1.428,5.0,-0.474278640859517,2.3731295914548345
wheat,IN,IN-02-0904,2016,343.443,102.512,320.7,19.236,25.85904,86.5533,1667.0,16.678,1.428,5.0,-0.5360126783273754,0.8386993442423184
wheat,IN,IN-02-0904,2017,343.443,102.512,320.7,19.236,25.85904,86.5533,1667.0,16.678,1.428,5.0,-0.8559508590578945,0.7962214202663015
wheat,IN,IN-02-0905,2003,347.401,102.355,204.3,6.331,25.7488,87.10759,3227.0,16.715,1.422,5.0,1.6931718726019909,-0.5964264782979863
wheat,IN,IN-02-0905,2004,347.401,102.355,204.3,6.331,25.7488,87.10759,3227.0,16.715,1.422,5.0,1.9127743922670364,-0.4600196695328178
wheat,IN,IN-02-0905,2005,347.401,102.355,204.3,6.331,25.7488,87.10759,3227.0,16.715,1.422,5.0,0.27564055855774294,-1.5814841769624488
wheat,IN,IN-02-0905,2006,347.401,102.355,204.3,6.331,25.7488,87.10759,3227.0,16.715,1.422,5.0,-0.35931258902506175,-0.00618947666907721
wheat,IN,IN-02-0905,2007,347.401,102.355,204.3,6.331,25.7488,87.10759,3227.0,16.715,1.422,5.0,1.174904508651723,-0.6890037994213942
wheat,IN,IN-02-0905,2008,347.401,102.355,204.3,6.331,25.7488,87.10759,3227.0,16.715,1.422,5.0,1.1273907773010958,-0.31310165308697363
wheat,IN,IN-02-0905,2009,347.401,102.355,204.3,6.331,25.7488,87.10759,3227.0,16.715,1.422,5.0,-0.3757265467103009,0.5119412803613181
wheat,IN,IN-02-0905,2010,347.401,102.355,204.3,6.331,25.7488,87.10759,3227.0,16.715,1.422,5.0,-1.068508059663938,-1.069683767428853
wheat,IN,IN-02-0905,2011,347.401,102.355,204.3,6.331,25.7488,87.10759,3227.0,16.715,1.422,5.0,-0.48346771074000905,-0.22351749671755564
wheat,IN,IN-02-0905,2012,347.401,102.355,204.3,6.331,25.7488,87.10759,3227.0,16.715,1.422,5.0,-1.0211555511765507,0.30632887440541334
wheat,IN,IN-02-0905,2013,347.401,102.355,204.3,6.331,25.7488,87.10759,3227.0,16.715,1.422,5.0,-0.775489773769329,0.7777619043520235
wheat,IN,IN-02-0905,2014,347.401,102.355,204.3,6.331,25.7488,87.10759,3227.0,16.715,1.422,5.0,-0.857349474380404,1.0089216038419848
wheat,IN,IN-02-0905,2015,347.401,102.355,204.3,6.331,25.7488,87.10759,3227.0,16.715,1.422,5.0,-0.09513055001348072,1.6214641683882587
wheat,IN,IN-02-0905,2016,347.401,102.355,204.3,6.331,25.7488,87.10759,3227.0,16.715,1.422,5.0,-0.4088683532002991,0.915843665374163
wheat,IN,IN-02-0905,2017,347.401,102.355,204.3,6.331,25.7488,87.10759,3227.0,16.715,1.422,5.0,-0.7388735007002333,1.667613676945849
wheat,IN,IN-02-0906,2003,341.744,101.837,473.8,17.934,25.93128,84.71212,2642.0,15.902,1.467,5.0,2.1019397371175903,-0.11865095825371248
wheat,IN,IN-02-0906,2004,341.744,101.837,473.8,17.934,25.93128,84.71212,2642.0,15.902,1.467,5.0,1.0453415731020672,0.4824218230083937
wheat,IN,IN-02-0906,2005,341.744,101.837,473.8,17.934,25.93128,84.71212,2642.0,15.902,1.467,5.0,0.10228516143868523,-0.9893730411637973
wheat,IN,IN-02-0906,2006,341.744,101.837,473.8,17.934,25.93128,84.71212,2642.0,15.902,1.467,5.0,0.1277615300407974,0.7094351339600753
wheat,IN,IN-02-0906,2007,341.744,101.837,473.8,17.934,25.93128,84.71212,2642.0,15.902,1.467,5.0,1.451614437627306,0.3056094837906286
wheat,IN,IN-02-0906,2008,341.744,101.837,473.8,17.934,25.93128,84.71212,2642.0,15.902,1.467,5.0,1.222562023858449,0.27590383024949333
wheat,IN,IN-02-0906,2009,341.744,101.837,473.8,17.934,25.93128,84.71212,2642.0,15.902,1.467,5.0,-0.649121787328821,-0.21033044944974674
wheat,IN,IN-02-0906,2010,341.744,101.837,473.8,17.934,25.93128,84.71212,2642.0,15.902,1.467,5.0,-1.2192044730615161,-1.5203508560514338
wheat,IN,IN-02-0906,2011,341.744,101.837,473.8,17.934,25.93128,84.71212,2642.0,15.902,1.467,5.0,-0.4433675446789091,-0.2814694614212357
wheat,IN,IN-02-0906,2012,341.744,101.837,473.8,17.934,25.93128,84.71212,2642.0,15.902,1.467,5.0,-0.7734957239127772,0.00895080616269639
wheat,IN,IN-02-0906,2013,341.744,101.837,473.8,17.934,25.93128,84.71212,2642.0,15.902,1.467,5.0,-0.18279533203602075,1.915342075500576
wheat,IN,IN-02-0906,2014,341.744,101.837,473.8,17.934,25.93128,84.71212,2642.0,15.902,1.467,5.0,-0.3299304365360602,1.5479442839808955
wheat,IN,IN-02-0906,2015,341.744,101.837,473.8,17.934,25.93128,84.71212,2642.0,15.902,1.467,5.0,-0.877569146241245,-0.6290173913525114
wheat,IN,IN-02-0906,2016,341.744,101.837,473.8,17.934,25.93128,84.71212,2642.0,15.902,1.467,5.0,-0.7463071531460544,-1.121338461907309
wheat,IN,IN-02-0906,2017,341.744,101.837,473.8,17.934,25.93128,84.71212,2642.0,15.902,1.467,5.0,-0.8297128662434811,1.1156702108659058
wheat,IN,IN-02-0907,2003,340.031,101.2,463.2,14.496,25.50727,85.32786,3195.0,16.024,1.479,4.0,1.8337826279470752,-0.5994420941991402
wheat,IN,IN-02-0907,2004,340.031,101.2,463.2,14.496,25.50727,85.32786,3195.0,16.024,1.479,4.0,1.1295113967804196,0.5074859637022979
wheat,IN,IN-02-0907,2005,340.031,101.2,463.2,14.496,25.50727,85.32786,3195.0,16.024,1.479,4.0,0.19074362312919332,-0.42920997620369034
wheat,IN,IN-02-0907,2006,340.031,101.2,463.2,14.496,25.50727,85.32786,3195.0,16.024,1.479,4.0,0.20228927598625973,-0.6478701967323262
wheat,IN,IN-02-0907,2007,340.031,101.2,463.2,14.496,25.50727,85.32786,3195.0,16.024,1.479,4.0,1.664601545716663,-0.320613625068668
wheat,IN,IN-02-0907,2008,340.031,101.2,463.2,14.496,25.50727,85.32786,3195.0,16.024,1.479,4.0,1.1342941562623379,0.6399365691563577
wheat,IN,IN-02-0907,2009,340.031,101.2,463.2,14.496,25.50727,85.32786,3195.0,16.024,1.479,4.0,-0.6555288024796104,-0.7358084062273282
wheat,IN,IN-02-0907,2010,340.031,101.2,463.2,14.496,25.50727,85.32786,3195.0,16.024,1.479,4.0,-1.2863073006046286,-1.7300833836440128
wheat,IN,IN-02-0907,2011,340.031,101.2,463.2,14.496,25.50727,85.32786,3195.0,16.024,1.479,4.0,-0.5514010718872137,-1.0433465360922152
wheat,IN,IN-02-0907,2012,340.031,101.2,463.2,14.496,25.50727,85.32786,3195.0,16.024,1.479,4.0,-0.7962156014309372,0.7843503858400896
wheat,IN,IN-02-0907,2013,340.031,101.2,463.2,14.496,25.50727,85.32786,3195.0,16.024,1.479,4.0,-0.2249148352341015,0.02754516611588044
wheat,IN,IN-02-0907,2014,340.031,101.2,463.2,14.496,25.50727,85.32786,3195.0,16.024,1.479,4.0,-0.1803848075373199,1.2555009846478224
wheat,IN,IN-02-0907,2015,340.031,101.2,463.2,14.496,25.50727,85.32786,3195.0,16.024,1.479,4.0,-0.6751653856419505,0.5969521661093936
wheat,IN,IN-02-0907,2016,340.031,101.2,463.2,14.496,25.50727,85.32786,3195.0,16.024,1.479,4.0,-0.7033346382592186,0.0014399273145741958
wheat,IN,IN-02-0907,2017,340.031,101.2,463.2,14.496,25.50727,85.32786,3195.0,16.024,1.479,4.0,-1.0819701827469757,2.5762674173711284
wheat,IN,IN-02-0908,2003,342.09,102.0,283.5,20.108,25.32478,86.48206,1410.0,15.952,1.475,4.0,1.7689163978173328,-0.6349567318273932
wheat,IN,IN-02-0908,2004,342.09,102.0,283.5,20.108,25.32478,86.48206,1410.0,15.952,1.475,4.0,1.464291312594835,1.0221017296125132
wheat,IN,IN-02-0908,2005,342.09,102.0,283.5,20.108,25.32478,86.48206,1410.0,15.952,1.475,4.0,0.34462711331745827,-0.18995346652151276
wheat,IN,IN-02-0908,2006,342.09,102.0,283.5,20.108,25.32478,86.48206,1410.0,15.952,1.475,4.0,0.13159329799320316,-1.7326382544656462
wheat,IN,IN-02-0908,2007,342.09,102.0,283.5,20.108,25.32478,86.48206,1410.0,15.952,1.475,4.0,1.5175895490826412,-0.40370473866186685
wheat,IN,IN-02-0908,2008,342.09,102.0,283.5,20.108,25.32478,86.48206,1410.0,15.952,1.475,4.0,1.1285909600123598,-0.5510367325616956
wheat,IN,IN-02-0908,2009,342.09,102.0,283.5,20.108,25.32478,86.48206,1410.0,15.952,1.475,4.0,-0.4306687372686586,-0.9225913420834124
wheat,IN,IN-02-0908,2010,342.09,102.0,283.5,20.108,25.32478,86.48206,1410.0,15.952,1.475,4.0,-1.130052830837016,-0.08944281582459132
wheat,IN,IN-02-0908,2011,342.09,102.0,283.5,20.108,25.32478,86.48206,1410.0,15.952,1.475,4.0,-0.6375058259226802,-0.6308183971829223
wheat,IN,IN-02-0908,2012,342.09,102.0,283.5,20.108,25.32478,86.48206,1410.0,15.952,1.475,4.0,-0.9997523626731424,-1.0909876413375044
wheat,IN,IN-02-0908,2013,342.09,102.0,283.5,20.108,25.32478,86.48206,1410.0,15.952,1.475,4.0,-0.565289841218426,1.2825168811440213
wheat,IN,IN-02-0908,2014,342.09,102.0,283.5,20.108,25.32478,86.48206,1410.0,15.952,1.475,4.0,-0.5758650933203239,1.8038249315542558
wheat,IN,IN-02-0908,2015,342.09,102.0,283.5,20.108,25.32478,86.48206,1410.0,15.952,1.475,4.0,-0.3994402033424941,1.278955199687717
wheat,IN,IN-02-0908,2016,342.09,102.0,283.5,20.108,25.32478,86.48206,1410.0,15.952,1.475,4.0,-0.6915396765817161,-0.8316512741384325
wheat,IN,IN-02-0908,2017,342.09,102.0,283.5,20.108,25.32478,86.48206,1410.0,15.952,1.475,4.0,-0.9254940596533682,1.0930354276686034
wheat,IN,IN-02-0909,2003,345.109,101.97,509.9,19.956,25.37059,87.01396,2555.0,16.108,1.471,4.0,1.7678262365605686,-0.5843539614206951
wheat,IN,IN-02-0909,2004,345.109,101.97,509.9,19.956,25.37059,87.01396,2555.0,16.108,1.471,4.0,1.695733538273007,-0.17385322691640026
wheat,IN,IN-02-0909,2005,345.109,101.97,509.9,19.956,25.37059,87.01396,2555.0,16.108,1.471,4.0,0.3376236576502909,-0.3522832973814688
wheat,IN,IN-02-0909,2006,345.109,101.97,509.9,19.956,25.37059,87.01396,2555.0,16.108,1.471,4.0,-0.16543713504260835,-0.08549314022144604
wheat,IN,IN-02-0909,2007,345.109,101.97,509.9,19.956,25.37059,87.01396,2555.0,16.108,1.471,4.0,1.2970283857305167,-0.703556234084923
wheat,IN,IN-02-0909,2008,345.109,101.97,509.9,19.956,25.37059,87.01396,2555.0,16.108,1.471,4.0,1.1481375094577098,-0.11227382549327057
wheat,IN,IN-02-0909,2009,345.109,101.97,509.9,19.956,25.37059,87.01396,2555.0,16.108,1.471,4.0,-0.3155994546358952,-1.149811642642005
wheat,IN,IN-02-0909,2010,345.109,101.97,509.9,19.956,25.37059,87.01396,2555.0,16.108,1.471,4.0,-1.139821271860313,-1.0484437945293124
wheat,IN,IN-02-0909,2011,345.109,101.97,509.9,19.956,25.37059,87.01396,2555.0,16.108,1.471,4.0,-0.6191826015673129,-0.917962693056221
wheat,IN,IN-02-0909,2012,345.109,101.97,509.9,19.956,25.37059,87.01396,2555.0,16.108,1.471,4.0,-0.9841995366118262,-0.019053625940529794
wheat,IN,IN-02-0909,2013,345.109,101.97,509.9,19.956,25.37059,87.01396,2555.0,16.108,1.471,4.0,-0.6767171487635382,0.887185480875887
wheat,IN,IN-02-0909,2014,345.109,101.97,509.9,19.956,25.37059,87.01396,2555.0,16.108,1.471,4.0,-0.8318471294177238,1.9994490623340693
wheat,IN,IN-02-0909,2015,345.109,101.97,509.9,19.956,25.37059,87.01396,2555.0,16.108,1.471,4.0,-0.17551836049626335,1.7675227402557334
wheat,IN,IN-02-0909,2016,345.109,101.97,509.9,19.956,25.37059,87.01396,2555.0,16.108,1.471,4.0,-0.5451079583543024,-1.3581087956091684
wheat,IN,IN-02-0909,2017,345.109,101.97,509.9,19.956,25.37059,87.01396,2555.0,16.108,1.471,4.0,-0.7929187309223187,1.1844013531438666
wheat,IN,IN-02-0912,2003,339.712,100.618,462.6,9.309,24.73694,84.97592,4970.0,13.954,1.507,5.0,1.6339339886153275,-0.09706597556090335
wheat,IN,IN-02-0912,2004,339.712,100.618,462.6,9.309,24.73694,84.97592,4970.0,13.954,1.507,5.0,1.08883135192468,0.4219584039298025
wheat,IN,IN-02-0912,2005,339.712,100.618,462.6,9.309,24.73694,84.97592,4970.0,13.954,1.507,5.0,0.08420973972568821,-1.3460848477192253
wheat,IN,IN-02-0912,2006,339.712,100.618,462.6,9.309,24.73694,84.97592,4970.0,13.954,1.507,5.0,0.3546558819786114,-0.6334623490728671
wheat,IN,IN-02-0912,2007,339.712,100.618,462.6,9.309,24.73694,84.97592,4970.0,13.954,1.507,5.0,1.5212140124874942,0.21708966447430386
wheat,IN,IN-02-0912,2008,339.712,100.618,462.6,9.309,24.73694,84.97592,4970.0,13.954,1.507,5.0,1.1177902978284375,0.5756064994589593
wheat,IN,IN-02-0912,2009,339.712,100.618,462.6,9.309,24.73694,84.97592,4970.0,13.954,1.507,5.0,-0.8652005251927967,-1.7300294071028208
wheat,IN,IN-02-0912,2010,339.712,100.618,462.6,9.309,24.73694,84.97592,4970.0,13.954,1.507,5.0,-1.7119306929764868,-1.2127143535262057
wheat,IN,IN-02-0912,2011,339.712,100.618,462.6,9.309,24.73694,84.97592,4970.0,13.954,1.507,5.0,-0.5497582273456934,-0.5404581922303521
wheat,IN,IN-02-0912,2012,339.712,100.618,462.6,9.309,24.73694,84.97592,4970.0,13.954,1.507,5.0,-0.3793793800184207,0.49464253043698253
wheat,IN,IN-02-0912,2013,339.712,100.618,462.6,9.309,24.73694,84.97592,4970.0,13.954,1.507,5.0,-0.013768694843296845,0.1067204150973508
wheat,IN,IN-02-0912,2014,339.712,100.618,462.6,9.309,24.73694,84.97592,4970.0,13.954,1.507,5.0,0.00743187729662831,2.0760404523372804
wheat,IN,IN-02-0912,2015,339.712,100.618,462.6,9.309,24.73694,84.97592,4970.0,13.954,1.507,5.0,-0.569302205546954,1.3994485760501
