adm_id,n_years,year_min,year_max
IN-06-1058,17,2001,2017
IN-06-1060,17,2001,2017
IN-06-1061,17,2001,2017
IN-06-1062,17,2001,2017
IN-06-1063,17,2001,2017
IN-06-1064,17,2001,2017
IN-07-0099,17,2001,2017
IN-07-0100,17,2001,2017
IN-07-0101,17,2001,2017
IN-07-0102,17,2001,2017
IN-07-0103,17,2001,2017
IN-07-0104,17,2001,2017
IN-07-0105,17,2001,2017
IN-07-0106,17,2001,2017
IN-07-0107,17,2001,2017
IN-07-0108,17,2001,2017
IN-07-0109,17,2001,2017
IN-07-0110,17,2001,2017
IN-07-0111,17,2001,2017
IN-07-0112,17,2001,2017
IN-07-0113,17,2001,2017
IN-07-0114,17,2001,2017
IN-07-0115,17,2001,2017
IN-07-0116,17,2001,2017
IN-07-0117,17,2001,2017
IN-07-0118,17,2001,2017
IN-07-0119,17,2001,2017
IN-07-0120,17,2001,2017
IN-07-0514,17,2001,2017
IN-07-0515,17,2001,2017
IN-07-0516,17,2001,2017
IN-07-1072,17,2001,2017
IN-07-1073,17,2001,2017
IN-07-1074,17,2001,2017
IN-07-1075,17,2001,2017
IN-08-0701,17,2001,2017
IN-08-0702,17,2001,2017
IN-08-0703,17,2001,2017
IN-08-0705,17,2001,2017
IN-08-0706,17,2001,2017
IN-08-0707,17,2001,2017
IN-08-0708,17,2001,2017
IN-08-0709,17,2001,2017
IN-08-0710,17,2001,2017
IN-08-0711,17,2001,2017
IN-08-0712,17,2001,2017
IN-08-0713,17,2001,2017
IN-08-0714,17,2001,2017
IN-08-0716,17,2001,2017
IN-08-0717,17,2001,2017
IN-08-0718,17,2001,2017
IN-08-0719,17,2001,2017
IN-08-0721,17,2001,2017
IN-08-0723,17,2001,2017
IN-08-0726,17,2001,2017
IN-08-0728,17,2001,2017
IN-08-0729,17,2001,2017
IN-08-0730,17,2001,2017
IN-08-0731,17,2001,2017
IN-08-0732,17,2001,2017
IN-09-0165,17,2001,2017
IN-09-0166,17,2001,2017
IN-09-0167,17,2001,2017
IN-09-0168,17,2001,2017
IN-09-0169,17,2001,2017
IN-09-0170,17,2001,2017
IN-09-0171,17,2001,2017
IN-09-0172,17,2001,2017
IN-09-0173,17,2001,2017
IN-09-0174,17,2001,2017
IN-09-0175,17,2001,2017
IN-09-0176,17,2001,2017
IN-09-0545,17,2001,2017
IN-09-0546,17,2001,2017
IN-09-1017,17,2001,2017
IN-09-1018,17,2001,2017
IN-09-1019,17,2001,2017
IN-10-0139,17,2001,2017
IN-10-0140,17,2001,2017
IN-10-0141,17,2001,2017
IN-10-0142,17,2001,2017
IN-10-0143,17,2001,2017
IN-10-0144,17,2001,2017
IN-10-0145,17,2001,2017
IN-10-0146,17,2001,2017
IN-10-0147,17,2001,2017
IN-10-0148,17,2001,2017
IN-10-0149,17,2001,2017
IN-10-0150,17,2001,2017
IN-10-0151,17,2001,2017
IN-10-0152,17,2001,2017
IN-10-0153,17,2001,2017
IN-10-0154,17,2001,2017
IN-10-0155,17,2001,2017
IN-10-0156,17,2001,2017
IN-10-0157,17,2001,2017
IN-10-0158,17,2001,2017
IN-10-0159,17,2001,2017
IN-10-0160,17,2001,2017
IN-10-0161,17,2001,2017
IN-10-0162,17,2001,2017
IN-10-0163,17,2001,2017
IN-10-0164,17,2001,2017
IN-10-0519,17,2001,2017
IN-10-0536,17,2001,2017
IN-10-0537,17,2001,2017
IN-10-0538,17,2001,2017
IN-10-0539,17,2001,2017
IN-10-1020,17,2001,2017
IN-12-0189,17,2001,2017
IN-12-0190,17,2001,2017
IN-12-0191,17,2001,2017
IN-12-0192,17,2001,2017
IN-12-0193,17,2001,2017
IN-12-0194,17,2001,2017
IN-12-0195,17,2001,2017
IN-12-0196,17,2001,2017
IN-12-0197,17,2001,2017
IN-12-0198,17,2001,2017
IN-12-0199,17,2001,2017
IN-12-0200,17,2001,2017
IN-12-0201,17,2001,2017
IN-12-0202,17,2001,2017
IN-12-0203,17,2001,2017
IN-12-0204,17,2001,2017
IN-12-0205,17,2001,2017
IN-12-0206,17,2001,2017
IN-12-0207,17,2001,2017
IN-12-0209,17,2001,2017
IN-12-0210,17,2001,2017
IN-12-0211,17,2001,2017
IN-12-0212,17,2001,2017
IN-12-0213,17,2001,2017
IN-12-0214,17,2001,2017
IN-12-0215,17,2001,2017
IN-12-0216,17,2001,2017
IN-12-0217,17,2001,2017
IN-12-0218,17,2001,2017
IN-12-0219,17,2001,2017
IN-12-0220,17,2001,2017
IN-12-0221,17,2001,2017
IN-12-0222,17,2001,2017
IN-12-0223,17,2001,2017
IN-12-0224,17,2001,2017
IN-12-0225,17,2001,2017
IN-12-0226,17,2001,2017
IN-12-0227,17,2001,2017
IN-12-0228,17,2001,2017
IN-12-0229,17,2001,2017
IN-12-0230,17,2001,2017
IN-12-0231,17,2001,2017
IN-12-0232,17,2001,2017
IN-12-0233,17,2001,2017
IN-12-0234,17,2001,2017
IN-12-0235,17,2001,2017
IN-12-0236,17,2001,2017
IN-12-0528,17,2001,2017
IN-12-0529,17,2001,2017
IN-12-0530,17,2001,2017
IN-12-0531,17,2001,2017
IN-12-0532,17,2001,2017
IN-12-0547,17,2001,2017
IN-12-0548,17,2001,2017
IN-12-1028,17,2001,2017
IN-12-1029,17,2001,2017
IN-12-1031,17,2001,2017
IN-12-1033,17,2001,2017
IN-12-1034,17,2001,2017
IN-12-1036,17,2001,2017
IN-12-1037,17,2001,2017
IN-12-1038,17,2001,2017
IN-12-1039,17,2001,2017
IN-12-1040,17,2001,2017
IN-12-1041,17,2001,2017
IN-12-1042,17,2001,2017
IN-12-1044,17,2001,2017
IN-12-1045,17,2001,2017
IN-12-1046,17,2001,2017
IN-13-0801,17,2001,2017
IN-13-0802,17,2001,2017
IN-13-0804,17,2001,2017
IN-13-0805,17,2001,2017
IN-13-0806,17,2001,2017
IN-13-0807,17,2001,2017
IN-13-0810,17,2001,2017
IN-13-0814,17,2001,2017
IN-13-0816,17,2001,2017
IN-13-0817,17,2001,2017
IN-13-0819,17,2001,2017
IN-13-0820,17,2001,2017
IN-13-0824,17,2001,2017
IN-14-0001,17,2001,2017
IN-14-0002,17,2001,2017
IN-14-0003,17,2001,2017
IN-14-0004,17,2001,2017
IN-14-0005,17,2001,2017
IN-14-0006,17,2001,2017
IN-14-0501,17,2001,2017
IN-14-1056,17,2001,2017
IN-14-1059,17,2001,2017
IN-14-1065,17,2001,2017
IN-14-1066,17,2001,2017
IN-14-1067,17,2001,2017
IN-14-1068,17,2001,2017
IN-14-1069,17,2001,2017
IN-14-1070,17,2001,2017
IN-16-0237,17,2001,2017
IN-16-0238,17,2001,2017
IN-16-0239,17,2001,2017
IN-16-0240,17,2001,2017
IN-16-0241,17,2001,2017
IN-16-0242,17,2001,2017
IN-16-0243,17,2001,2017
IN-16-0244,17,2001,2017
IN-16-0527,17,2001,2017
IN-16-1030,17,2001,2017
IN-16-1032,17,2001,2017
IN-16-1043,17,2001,2017
IN-17-0601,17,2001,2017
IN-17-0602,17,2001,2017
IN-17-0604,17,2001,2017
IN-17-0605,17,2001,2017
IN-17-0606,17,2001,2017
IN-17-0607,17,2001,2017
IN-17-0609,17,2001,2017
IN-17-0610,17,2001,2017
IN-17-0615,17,2001,2017
IN-17-0616,17,2001,2017
IN-17-0617,17,2001,2017
IN-17-0618,17,2001,2017
IN-17-0620,17,2001,2017
IN-17-0621,17,2001,2017
IN-17-0622,17,2001,2017
IN-17-1047,17,2001,2017
IN-17-1048,17,2001,2017
IN-17-1050,17,2001,2017
IN-17-1051,17,2001,2017
IN-18-0626,17,2001,2017
IN-18-0627,17,2001,2017
IN-18-0628,17,2001,2017
IN-18-0629,17,2001,2017
IN-18-0631,17,2001,2017
IN-18-0633,17,2001,2017
IN-18-0634,17,2001,2017
IN-18-0635,17,2001,2017
IN-18-0636,17,2001,2017
IN-18-0637,17,2001,2017
IN-20-0056,17,2001,2017
IN-20-0057,17,2001,2017
IN-20-0063,17,2001,2017
IN-20-0520,17,2001,2017
IN-03-0128,16,2001,2017
IN-05-0076,16,2001,2017
IN-05-1010,16,2001,2017
IN-08-0704,16,2001,2016
IN-08-0724,16,2001,2017
IN-12-0533,16,2001,2017
IN-13-0803,16,2001,2016
IN-15-0910,16,2001,2016
IN-15-0913,16,2001,2016
IN-15-0914,16,2001,2016
IN-15-0915,16,2001,2016
IN-15-0916,16,2001,2016
IN-15-0933,16,2001,2016
IN-15-0937,16,2001,2016
IN-15-0938,16,2001,2016
IN-15-0940,16,2001,2016
IN-15-0941,16,2001,2016
IN-15-0942,16,2001,2016
IN-15-0952,16,2001,2016
IN-15-0953,16,2001,2016
IN-15-0954,16,2001,2016
IN-15-0955,16,2001,2016
IN-15-0957,16,2001,2016
IN-17-0603,16,2001,2017
IN-06-1071,15,2003,2017
IN-06-1081,15,2003,2017
IN-06-1082,15,2003,2017
IN-14-1055,15,2001,2017
IN-15-0943,15,2001,2016
IN-15-0944,15,2001,2016
IN-15-0962,15,2001,2016
IN-15-0963,15,2001,2016
IN-15-0964,15,2001,2016
IN-15-0965,15,2001,2016
IN-01-0052,14,2001,2017
IN-17-0619,14,2001,2017
IN-01-0053,13,2001,2017
IN-02-0961,13,2003,2017
IN-04-2002,13,2005,2017
IN-08-0722,13,2002,2016
IN-08-0725,13,2001,2013
IN-09-2009,13,2005,2017
IN-09-2011,13,2005,2017
IN-17-2018,13,2005,2017
IN-17-2019,13,2005,2017
IN-20-0058,13,2001,2017
IN-07-0096,12,2002,2017
IN-09-2010,12,2006,2017
IN-17-0608,12,2001,2014
IN-17-2017,12,2005,2017
IN-03-0127,11,2001,2017
IN-08-0720,11,2001,2013
IN-03-2001,10,2008,2017
IN-04-2003,10,2008,2017
IN-06-2006,10,2008,2017
IN-06-2007,10,2008,2017
IN-10-2012,10,2008,2017
IN-12-2013,10,2008,2017
IN-14-2015,10,2007,2017
IN-20-0062,10,2001,2012
IN-15-2023,9,2008,2016
IN-15-2024,9,2008,2016
IN-17-2028,9,2009,2017
IN-05-2025,8,2010,2017
IN-12-2026,8,2010,2017
IN-05-0071,7,2001,2009
IN-12-2031,7,2011,2017
IN-12-2032,7,2011,2017
IN-12-2033,7,2011,2017
IN-14-2034,7,2011,2017
IN-14-2035,7,2011,2017
IN-14-2036,7,2011,2017
IN-14-2037,7,2011,2017
IN-14-2038,7,2011,2017
IN-14-2039,7,2011,2017
IN-14-2040,7,2011,2017
IN-14-2042,7,2011,2017
IN-17-1049,7,2001,2010
IN-20-0060,7,2001,2010
IN-09-2030,6,2012,2017
IN-09-2043,6,2012,2017
IN-06-2058,5,2013,2017
IN-03-2050,4,2014,2017
IN-03-2051,4,2014,2017
IN-03-2052,4,2014,2017
IN-03-2053,4,2014,2017
IN-03-2054,4,2014,2017
IN-03-2055,4,2014,2017
IN-03-2056,4,2014,2017
IN-07-2059,3,2015,2017
IN-04-2057,2,2016,2017
IN-05-0066,2,2008,2017
IN-05-0549,2,2010,2011
IN-13-2061,2,2016,2017
IN-13-2063,2,2016,2017
IN-14-2041,2,2016,2017
IN-19-0654,2,2016,2017
IN-20-2101,2,2016,2017
IN-20-2103,2,2016,2017
IN-20-2111,2,2016,2017
IN-20-2112,2,2016,2017
IN-20-2115,2,2016,2017
IN-20-2117,2,2016,2017
IN-01-0047,1,2017,2017
IN-01-0049,1,2010,2010
IN-01-0503,1,2017,2017
IN-01-0504,1,2001,2001
IN-05-0065,1,2008,2008
IN-05-0067,1,2008,2008
IN-05-0068,1,2008,2008
IN-05-0069,1,2008,2008
IN-05-0080,1,2008,2008
IN-05-0082,1,2008,2008
IN-05-1016,1,2008,2008
IN-05-2004,1,2008,2008
IN-05-2005,1,2008,2008
IN-07-0097,1,2015,2015
IN-20-0059,1,2016,2016
IN-20-2102,1,2016,2016
IN-20-2114,1,2016,2016
IN-20-2116,1,2016,2016
