,harvest_year,yield,production,harvest_area,sos,eos,awc,bulk_density,drainage_class,latitude,longitude,region_area,crop_area,crop_area_percentage,avg_tmin,avg_tmax,avg_tavg,avg_rad,avg_et0,avg_vpd,avg_cwb,avg_ssm,avg_rsm,avg_ndvi,avg_fpar
longitude,-0.01692706853602091,-0.370076650729436,-0.31236652263238,-0.30807138414421,-0.414594533570286,0.08998066110708826,0.004585407500124064,-0.38378068291665285,-0.2037034055264833,0.030951211864118155,1.0,-0.3254502198838207,-0.39101062864863967,-0.34235543976397365,0.23898210234274284,-0.0791042315427444,0.06456848007359793,-0.4706242777349007,-0.4698053494165209,-0.45780182813149434,0.5457571406413046,0.5565465295010575,0.2367073545950708,0.2501176788891518,0.019962655481810743
region_area,-0.014016893292145883,-0.19828451932742747,-0.10939372935425928,-0.0510102387935188,0.08623730373594085,-0.03864032852460925,-0.10072996805185735,0.0881182343783746,0.045141471416047206,-0.3000842393847427,-0.3254502198838207,1.0,0.20184543978492148,-0.17767954717319667,0.21864294480403373,0.30104409414808875,0.292659739027411,0.3833103008368667,0.47871110337891604,0.39422617082097006,-0.2773466491627001,-0.20240709931186615,0.02893261446218071,-0.49666668638352246,-0.39617563046363896
crop_area,-0.006705341959460918,0.4505071782510852,0.6450405759993987,0.7042061390184147,0.22252047017668167,-0.07871729147299542,0.013057361160732564,0.20979315486275923,0.26207480452990034,0.278480019166948,-0.39101062864863967,0.20184543978492148,1.0,0.7589780693686013,-0.3493516588814807,-0.18716073254169924,-0.2684589201093927,-0.09826867850454164,-0.03963915179655541,0.024182020177677146,-0.1573132282261683,-0.2871078885796914,-0.18389924611433742,0.01640222955407462,0.23997136490972518
crop_area_percentage,0.005077342357705173,0.6982328673534967,0.7749817352403822,0.7324883706505565,0.24770187826607054,-0.12754933908000193,0.014465372766699881,0.14975722390539403,0.3730234127454089,0.4826571987185114,-0.34235543976397365,-0.17767954717319667,0.7589780693686013,1.0,-0.5610102039383775,-0.4282589121734944,-0.5144298474320212,-0.35773776947101016,-0.3291292858045536,-0.23657053154603389,-0.03987203882096024,-0.29691980728391765,-0.3174222387318213,0.3711077090725749,0.5733843469514616
avg_tmin,0.014180246266250186,-0.5541283192790178,-0.5454901298222166,-0.537185130957884,-0.12791801381013843,-0.24235474174074312,-0.0044246689431690946,0.07699070564899842,-0.47772932969439164,-0.761171093427711,0.23898210234274284,0.21864294480403373,-0.3493516588814807,-0.5610102039383775,1.0,0.8574821197428121,0.9581868697144407,0.35627364130724815,0.5420823155954817,0.4927685519102551,-0.07846553518538622,0.2592608499903563,0.4785035049359024,-0.394246586330291,-0.46989950158133886
avg_tmax,-0.01139752419909293,-0.39750955645763875,-0.42665688231901766,-0.4023840526968432,0.24777454448925468,-0.40971301386305353,-0.04101175974946382,0.29251047151689813,-0.4131086413212388,-0.8153341129088073,-0.0791042315427444,0.30104409414808875,-0.18716073254169924,-0.4282589121734944,0.8574821197428121,1.0,0.965105561143,0.6467692177003239,0.8145271813201549,0.8434030320966106,-0.49759807684964064,-0.10298665812436804,0.21293233434840803,-0.596622075060932,-0.5313859711771141
avg_tavg,-0.011862357387683218,-0.5047914028601459,-0.5092109652460644,-0.48563521230203516,0.06391825346807693,-0.3285331147290666,-0.017226497774534895,0.20406758469500946,-0.45742273422377666,-0.8192414497079218,0.06456848007359793,0.292659739027411,-0.2684589201093927,-0.5144298474320212,0.9581868697144407,0.965105561143,1.0,0.5390015315585269,0.7204437679532244,0.7094584882441949,-0.3106041401456216,0.06947821510113517,0.35988852261527104,-0.5331597906922843,-0.5361715857047321
avg_rad,-0.061483619555120175,-0.3124991083095454,-0.36130381060156097,-0.31075420271045995,0.3661700057181103,-0.14531092370493273,0.0010784035169348863,0.2507034216012435,-0.2991785694131781,-0.6832786411143884,-0.4706242777349007,0.3833103008368667,-0.09826867850454164,-0.35773776947101016,0.35627364130724815,0.6467692177003239,0.5390015315585269,1.0,0.8857620879473909,0.845133322373722,-0.7160956922554461,-0.2709866497325778,0.0859855951787414,-0.6172845704137431,-0.5448384279070527
avg_et0,-0.0510904765703694,-0.2624861512910975,-0.33201165930692533,-0.27936023466492854,0.4041948716630815,-0.3056381388784375,-0.0023302987680858494,0.3489157586905329,-0.2545290320471452,-0.7045706267598759,-0.4698053494165209,0.47871110337891604,-0.03963915179655541,-0.3291292858045536,0.5420823155954817,0.8145271813201549,0.7204437679532244,0.8857620879473909,1.0,0.9324895581383292,-0.7396496742109524,-0.3592625237062478,0.048678844864504266,-0.7398391520964663,-0.604744568252572
avg_vpd,-0.055521559838339764,-0.21266990102649666,-0.26350289447903796,-0.22082584312577297,0.4822995793895462,-0.3624124826938408,-0.06598083368123962,0.41196757054416694,-0.24982030607291647,-0.6712919465913744,-0.45780182813149434,0.39422617082097006,0.024182020177677146,-0.23657053154603389,0.4927685519102551,0.8434030320966106,0.7094584882441949,0.845133322373722,0.9324895581383292,1.0,-0.7666832369637624,-0.4044493881441167,-0.016123934556125482,-0.6979859553454613,-0.5332379633122847
avg_cwb,0.025884350844037337,-0.09807713105622241,-0.0107384993188842,-0.06612014441114006,-0.8436313467635002,0.5696703238925106,-0.04102144342900824,-0.3973424872523213,0.05260349326611896,0.44780504188946774,0.5457571406413046,-0.2773466491627001,-0.1573132282261683,-0.03987203882096024,-0.07846553518538622,-0.49759807684964064,-0.3106041401456216,-0.7160956922554461,-0.7396496742109524,-0.7666832369637624,1.0,0.6761631352503591,0.40508274285950313,0.5712869710428031,0.3251809815924718
avg_ssm,-0.09748322101738101,-0.4072773661735304,-0.29834158493386576,-0.30075842588316676,-0.6866890482256117,0.36936324983263347,0.050713167693769066,-0.30802745652540947,-0.26526419667079554,-0.025765739596883868,0.5565465295010575,-0.20240709931186615,-0.2871078885796914,-0.29691980728391765,0.2592608499903563,-0.10298665812436804,0.06947821510113517,-0.2709866497325778,-0.3592625237062478,-0.4044493881441167,0.6761631352503591,1.0,0.8150518177727274,0.31511571853615683,0.06484958460285187
avg_rsm,-0.0974818540568093,-0.46080995934148733,-0.35574670822057536,-0.345698988644567,-0.5841121022974983,0.2328269142634627,0.1578963999077267,-0.08475026298579286,-0.41216102500563445,-0.3241834776639565,0.2367073545950708,0.02893261446218071,-0.18389924611433742,-0.3174222387318213,0.4785035049359024,0.21293233434840803,0.35988852261527104,0.0859855951787414,0.048678844864504266,-0.016123934556125482,0.40508274285950313,0.8150518177727274,1.0,0.01651872577128093,-0.15719318094331586
avg_ndvi,0.17959322940047143,0.3405165705240818,0.41009145346033415,0.3411676372356898,-0.3241076642262608,0.2959630048202756,0.13831168839241506,-0.22885556777523886,0.14020108777512966,0.509535141982494,0.2501176788891518,-0.49666668638352246,0.01640222955407462,0.3711077090725749,-0.394246586330291,-0.596622075060932,-0.5331597906922843,-0.6172845704137431,-0.7398391520964663,-0.6979859553454613,0.5712869710428031,0.31511571853615683,0.01651872577128093,1.0,0.8618232545182541
avg_fpar,0.19670994993178795,0.5280177084131714,0.5688842215872267,0.4987484266995109,-0.060884555447855704,0.15922149533305752,0.0648087993236065,-0.02105445320357919,0.29373309520465496,0.5176891557611383,0.019962655481810743,-0.39617563046363896,0.23997136490972518,0.5733843469514616,-0.46989950158133886,-0.5313859711771141,-0.5361715857047321,-0.5448384279070527,-0.604744568252572,-0.5332379633122847,0.3251809815924718,0.06484958460285187,-0.15719318094331586,0.8618232545182541,1.0
