adm_id,n_years,min_year,max_year,n_rows
IN-06-1061,15,2003,2017,15
IN-06-1062,15,2003,2017,15
IN-06-1063,15,2003,2017,15
IN-06-1064,15,2003,2017,15
IN-06-1071,15,2003,2017,15
IN-06-1081,15,2003,2017,15
IN-06-1082,15,2003,2017,15
IN-07-0099,15,2003,2017,15
IN-07-0100,15,2003,2017,15
IN-07-0101,15,2003,2017,15
IN-07-0102,15,2003,2017,15
IN-07-0103,15,2003,2017,15
IN-07-0104,15,2003,2017,15
IN-07-0105,15,2003,2017,15
IN-07-0106,15,2003,2017,15
IN-07-0107,15,2003,2017,15
IN-07-0108,15,2003,2017,15
IN-07-0109,15,2003,2017,15
IN-07-0110,15,2003,2017,15
IN-07-0111,15,2003,2017,15
IN-07-0112,15,2003,2017,15
IN-07-0113,15,2003,2017,15
IN-07-0114,15,2003,2017,15
IN-07-0115,15,2003,2017,15
IN-07-0116,15,2003,2017,15
IN-07-0117,15,2003,2017,15
IN-07-0118,15,2003,2017,15
IN-07-0119,15,2003,2017,15
IN-07-0120,15,2003,2017,15
IN-07-0514,15,2003,2017,15
IN-07-0515,15,2003,2017,15
IN-07-0516,15,2003,2017,15
IN-07-1072,15,2003,2017,15
IN-07-1073,15,2003,2017,15
IN-07-1074,15,2003,2017,15
IN-07-1075,15,2003,2017,15
IN-08-0701,15,2003,2017,15
IN-08-0702,15,2003,2017,15
IN-08-0703,15,2003,2017,15
IN-08-0705,15,2003,2017,15
IN-08-0706,15,2003,2017,15
IN-08-0707,15,2003,2017,15
IN-08-0708,15,2003,2017,15
IN-08-0709,15,2003,2017,15
IN-08-0710,15,2003,2017,15
IN-08-0711,15,2003,2017,15
IN-08-0712,15,2003,2017,15
IN-08-0713,15,2003,2017,15
IN-08-0714,15,2003,2017,15
IN-08-0716,15,2003,2017,15
IN-08-0717,15,2003,2017,15
IN-08-0718,15,2003,2017,15
IN-08-0719,15,2003,2017,15
IN-08-0721,15,2003,2017,15
IN-08-0723,15,2003,2017,15
IN-08-0724,15,2003,2017,15
IN-08-0726,15,2003,2017,15
IN-08-0728,15,2003,2017,15
IN-08-0729,15,2003,2017,15
IN-08-0730,15,2003,2017,15
IN-08-0731,15,2003,2017,15
IN-08-0732,15,2003,2017,15
IN-09-0165,15,2003,2017,15
IN-09-0166,15,2003,2017,15
IN-09-0167,15,2003,2017,15
IN-09-0168,15,2003,2017,15
IN-09-0169,15,2003,2017,15
IN-09-0170,15,2003,2017,15
IN-09-0171,15,2003,2017,15
IN-09-0172,15,2003,2017,15
IN-09-0173,15,2003,2017,15
IN-09-0174,15,2003,2017,15
IN-09-0175,15,2003,2017,15
IN-09-0176,15,2003,2017,15
IN-09-0545,15,2003,2017,15
IN-09-0546,15,2003,2017,15
IN-09-1017,15,2003,2017,15
IN-09-1018,15,2003,2017,15
IN-09-1019,15,2003,2017,15
IN-10-0139,15,2003,2017,15
IN-10-0140,15,2003,2017,15
IN-10-0141,15,2003,2017,15
IN-10-0142,15,2003,2017,15
IN-10-0143,15,2003,2017,15
IN-10-0144,15,2003,2017,15
IN-10-0145,15,2003,2017,15
IN-10-0146,15,2003,2017,15
IN-10-0147,15,2003,2017,15
IN-10-0148,15,2003,2017,15
IN-10-0149,15,2003,2017,15
IN-10-0150,15,2003,2017,15
IN-10-0151,15,2003,2017,15
IN-10-0152,15,2003,2017,15
IN-10-0153,15,2003,2017,15
IN-10-0154,15,2003,2017,15
IN-10-0155,15,2003,2017,15
IN-10-0156,15,2003,2017,15
IN-10-0157,15,2003,2017,15
IN-10-0158,15,2003,2017,15
IN-10-0159,15,2003,2017,15
IN-10-0160,15,2003,2017,15
IN-10-0161,15,2003,2017,15
IN-10-0162,15,2003,2017,15
IN-10-0163,15,2003,2017,15
IN-10-0164,15,2003,2017,15
IN-10-0519,15,2003,2017,15
IN-10-0536,15,2003,2017,15
IN-10-0537,15,2003,2017,15
IN-10-0538,15,2003,2017,15
IN-10-0539,15,2003,2017,15
IN-10-1020,15,2003,2017,15
IN-12-0189,15,2003,2017,15
IN-12-0190,15,2003,2017,15
IN-12-0191,15,2003,2017,15
IN-12-0192,15,2003,2017,15
IN-12-0193,15,2003,2017,15
IN-12-0194,15,2003,2017,15
IN-12-0195,15,2003,2017,15
IN-12-0196,15,2003,2017,15
IN-12-0197,15,2003,2017,15
IN-12-0198,15,2003,2017,15
IN-12-0199,15,2003,2017,15
IN-12-0200,15,2003,2017,15
IN-12-0201,15,2003,2017,15
IN-12-0202,15,2003,2017,15
IN-12-0203,15,2003,2017,15
IN-12-0204,15,2003,2017,15
IN-12-0205,15,2003,2017,15
IN-12-0206,15,2003,2017,15
IN-12-0207,15,2003,2017,15
IN-12-0209,15,2003,2017,15
IN-12-0210,15,2003,2017,15
IN-12-0211,15,2003,2017,15
IN-12-0212,15,2003,2017,15
IN-12-0213,15,2003,2017,15
IN-12-0214,15,2003,2017,15
IN-12-0215,15,2003,2017,15
IN-12-0216,15,2003,2017,15
IN-12-0217,15,2003,2017,15
IN-12-0218,15,2003,2017,15
IN-12-0219,15,2003,2017,15
IN-12-0220,15,2003,2017,15
IN-12-0221,15,2003,2017,15
IN-12-0222,15,2003,2017,15
IN-12-0223,15,2003,2017,15
IN-12-0224,15,2003,2017,15
IN-12-0225,15,2003,2017,15
IN-12-0226,15,2003,2017,15
IN-12-0227,15,2003,2017,15
IN-12-0228,15,2003,2017,15
IN-12-0229,15,2003,2017,15
IN-12-0230,15,2003,2017,15
IN-12-0231,15,2003,2017,15
IN-12-0232,15,2003,2017,15
IN-12-0233,15,2003,2017,15
IN-12-0234,15,2003,2017,15
IN-12-0235,15,2003,2017,15
IN-12-0236,15,2003,2017,15
IN-12-0528,15,2003,2017,15
IN-12-0529,15,2003,2017,15
IN-12-0530,15,2003,2017,15
IN-12-0531,15,2003,2017,15
IN-12-0532,15,2003,2017,15
IN-12-0547,15,2003,2017,15
IN-12-0548,15,2003,2017,15
IN-12-1028,15,2003,2017,15
IN-12-1029,15,2003,2017,15
IN-12-1031,15,2003,2017,15
IN-12-1033,15,2003,2017,15
IN-12-1034,15,2003,2017,15
IN-12-1036,15,2003,2017,15
IN-12-1037,15,2003,2017,15
IN-12-1038,15,2003,2017,15
IN-12-1039,15,2003,2017,15
IN-12-1040,15,2003,2017,15
IN-12-1041,15,2003,2017,15
IN-12-1042,15,2003,2017,15
IN-12-1044,15,2003,2017,15
IN-12-1045,15,2003,2017,15
IN-12-1046,15,2003,2017,15
IN-13-0801,15,2003,2017,15
IN-13-0802,15,2003,2017,15
IN-13-0804,15,2003,2017,15
IN-13-0805,15,2003,2017,15
IN-13-0806,15,2003,2017,15
IN-13-0807,15,2003,2017,15
IN-13-0810,15,2003,2017,15
IN-13-0814,15,2003,2017,15
IN-13-0816,15,2003,2017,15
IN-13-0817,15,2003,2017,15
IN-13-0819,15,2003,2017,15
IN-13-0820,15,2003,2017,15
IN-13-0824,15,2003,2017,15
IN-14-0001,15,2003,2017,15
IN-14-0002,15,2003,2017,15
IN-14-0003,15,2003,2017,15
IN-14-0004,15,2003,2017,15
IN-14-0005,15,2003,2017,15
IN-14-0006,15,2003,2017,15
IN-14-0501,15,2003,2017,15
IN-14-1056,15,2003,2017,15
IN-14-1059,15,2003,2017,15
IN-14-1065,15,2003,2017,15
IN-14-1066,15,2003,2017,15
IN-14-1067,15,2003,2017,15
IN-14-1068,15,2003,2017,15
IN-14-1069,15,2003,2017,15
IN-14-1070,15,2003,2017,15
IN-16-0237,15,2003,2017,15
IN-16-0238,15,2003,2017,15
IN-16-0239,15,2003,2017,15
IN-16-0240,15,2003,2017,15
IN-16-0241,15,2003,2017,15
IN-16-0242,15,2003,2017,15
IN-16-0243,15,2003,2017,15
IN-16-0244,15,2003,2017,15
IN-16-0527,15,2003,2017,15
IN-16-1030,15,2003,2017,15
IN-16-1032,15,2003,2017,15
IN-16-1043,15,2003,2017,15
IN-17-0601,15,2003,2017,15
IN-17-0602,15,2003,2017,15
IN-17-0604,15,2003,2017,15
IN-17-0605,15,2003,2017,15
IN-17-0606,15,2003,2017,15
IN-17-0607,15,2003,2017,15
IN-17-0609,15,2003,2017,15
IN-17-0610,15,2003,2017,15
IN-17-0615,15,2003,2017,15
IN-17-0616,15,2003,2017,15
IN-17-0617,15,2003,2017,15
IN-17-0618,15,2003,2017,15
IN-17-0620,15,2003,2017,15
IN-17-0621,15,2003,2017,15
IN-17-0622,15,2003,2017,15
IN-17-1047,15,2003,2017,15
IN-17-1048,15,2003,2017,15
IN-17-1050,15,2003,2017,15
IN-17-1051,15,2003,2017,15
IN-18-0626,15,2003,2017,15
IN-18-0627,15,2003,2017,15
IN-18-0628,15,2003,2017,15
IN-18-0629,15,2003,2017,15
IN-18-0631,15,2003,2017,15
IN-18-0633,15,2003,2017,15
IN-18-0634,15,2003,2017,15
IN-18-0635,15,2003,2017,15
IN-18-0636,15,2003,2017,15
IN-18-0637,15,2003,2017,15
IN-20-0056,15,2003,2017,15
IN-20-0057,15,2003,2017,15
IN-20-0063,15,2003,2017,15
IN-20-0520,15,2003,2017,15
IN-03-0128,14,2004,2017,14
IN-05-0076,14,2003,2017,14
IN-05-1010,14,2003,2017,14
IN-08-0704,14,2003,2016,14
IN-12-0533,14,2003,2017,14
IN-13-0803,14,2003,2016,14
IN-15-0910,14,2003,2016,14
IN-15-0913,14,2003,2016,14
IN-15-0914,14,2003,2016,14
IN-15-0915,14,2003,2016,14
IN-15-0916,14,2003,2016,14
IN-15-0933,14,2003,2016,14
IN-15-0937,14,2003,2016,14
IN-15-0938,14,2003,2016,14
IN-15-0940,14,2003,2016,14
IN-15-0941,14,2003,2016,14
IN-15-0942,14,2003,2016,14
IN-15-0943,14,2003,2016,14
IN-15-0944,14,2003,2016,14
IN-15-0952,14,2003,2016,14
IN-15-0953,14,2003,2016,14
IN-15-0954,14,2003,2016,14
IN-15-0955,14,2003,2016,14
IN-15-0957,14,2003,2016,14
IN-15-0962,14,2003,2016,14
IN-15-0963,14,2003,2016,14
IN-15-0964,14,2003,2016,14
IN-15-0965,14,2003,2016,14
IN-17-0603,14,2003,2017,14
IN-01-0052,13,2003,2017,13
IN-02-0961,13,2003,2017,13
IN-04-2002,13,2005,2017,13
IN-09-2009,13,2005,2017,13
IN-09-2011,13,2005,2017,13
IN-14-1055,13,2003,2017,13
IN-17-0619,13,2004,2017,13
IN-17-2018,13,2005,2017,13
IN-17-2019,13,2005,2017,13
IN-01-0053,12,2003,2017,12
IN-08-0722,12,2003,2016,12
IN-09-2010,12,2006,2017,12
IN-17-2017,12,2005,2017,12
IN-20-0058,12,2003,2017,12
IN-07-0096,11,2003,2017,11
IN-08-0725,11,2003,2013,11
IN-03-2001,10,2008,2017,10
IN-04-2003,10,2008,2017,10
IN-06-2006,10,2008,2017,10
IN-06-2007,10,2008,2017,10
IN-10-2012,10,2008,2017,10
IN-12-2013,10,2008,2017,10
IN-14-2015,10,2007,2017,10
IN-17-0608,10,2003,2014,10
IN-03-0127,9,2003,2017,9
IN-08-0720,9,2003,2013,9
IN-15-2023,9,2008,2016,9
IN-15-2024,9,2008,2016,9
IN-17-2028,9,2009,2017,9
IN-20-0062,9,2003,2012,9
IN-05-2025,8,2010,2017,8
IN-12-2026,8,2010,2017,8
IN-12-2031,7,2011,2017,7
IN-12-2032,7,2011,2017,7
IN-12-2033,7,2011,2017,7
IN-14-2034,7,2011,2017,7
IN-14-2035,7,2011,2017,7
IN-14-2036,7,2011,2017,7
IN-14-2037,7,2011,2017,7
IN-14-2038,7,2011,2017,7
IN-14-2039,7,2011,2017,7
IN-14-2040,7,2011,2017,7
IN-14-2042,7,2011,2017,7
IN-05-0071,6,2004,2009,6
IN-09-2030,6,2012,2017,6
IN-09-2043,6,2012,2017,6
IN-20-0060,6,2003,2010,6
IN-06-2058,5,2013,2017,5
IN-17-1049,5,2004,2010,5
IN-03-2050,4,2014,2017,4
IN-03-2051,4,2014,2017,4
IN-03-2052,4,2014,2017,4
IN-03-2053,4,2014,2017,4
IN-03-2054,4,2014,2017,4
IN-03-2055,4,2014,2017,4
IN-03-2056,4,2014,2017,4
IN-07-2059,3,2015,2017,3
IN-04-2057,2,2016,2017,2
IN-05-0066,2,2008,2017,2
IN-05-0549,2,2010,2011,2
IN-13-2061,2,2016,2017,2
IN-13-2063,2,2016,2017,2
IN-14-2041,2,2016,2017,2
IN-19-0654,2,2016,2017,2
IN-20-2101,2,2016,2017,2
IN-20-2103,2,2016,2017,2
IN-20-2111,2,2016,2017,2
IN-20-2112,2,2016,2017,2
IN-20-2115,2,2016,2017,2
IN-20-2117,2,2016,2017,2
IN-01-0047,1,2017,2017,1
IN-01-0049,1,2010,2010,1
IN-01-0503,1,2017,2017,1
IN-05-0065,1,2008,2008,1
IN-05-0067,1,2008,2008,1
IN-05-0068,1,2008,2008,1
IN-05-0069,1,2008,2008,1
IN-05-0080,1,2008,2008,1
IN-05-0082,1,2008,2008,1
IN-05-1016,1,2008,2008,1
IN-05-2004,1,2008,2008,1
IN-05-2005,1,2008,2008,1
IN-07-0097,1,2015,2015,1
IN-20-0059,1,2016,2016,1
IN-20-2102,1,2016,2016,1
IN-20-2114,1,2016,2016,1
IN-20-2116,1,2016,2016,1
