adm_id,crop_name,first_year,last_year,n_years,n_rows,is_balanced_15
IN-06-0020,wheat,2003,2017,15,15,True
IN-06-0021,wheat,2003,2017,15,15,True
IN-06-0022,wheat,2003,2017,15,15,True
IN-06-0023,wheat,2003,2017,15,15,True
IN-06-0024,wheat,2003,2017,15,15,True
IN-06-0025,wheat,2003,2017,15,15,True
IN-06-0026,wheat,2003,2017,15,15,True
IN-06-0027,wheat,2003,2017,15,15,True
IN-06-0028,wheat,2003,2017,15,15,True
IN-06-0029,wheat,2003,2017,15,15,True
IN-06-0030,wheat,2003,2017,15,15,True
IN-06-0031,wheat,2003,2017,15,15,True
IN-06-0032,wheat,2003,2017,15,15,True
IN-06-0033,wheat,2003,2017,15,15,True
IN-06-0034,wheat,2003,2017,15,15,True
IN-06-0035,wheat,2003,2017,15,15,True
IN-06-0036,wheat,2003,2017,15,15,True
IN-06-0037,wheat,2003,2017,15,15,True
IN-06-0038,wheat,2003,2017,15,15,True
IN-06-0039,wheat,2003,2017,15,15,True
IN-06-0040,wheat,2003,2017,15,15,True
IN-06-0041,wheat,2003,2017,15,15,True
IN-06-0042,wheat,2003,2017,15,15,True
IN-06-0043,wheat,2003,2017,15,15,True
IN-06-0502,wheat,2003,2017,15,15,True
IN-06-1057,wheat,2003,2017,15,15,True
IN-06-1058,wheat,2003,2017,15,15,True
IN-06-1060,wheat,2003,2017,15,15,True
IN-06-1061,wheat,2003,2017,15,15,True
IN-06-1062,wheat,2003,2017,15,15,True
IN-06-1063,wheat,2003,2017,15,15,True
IN-06-1064,wheat,2003,2017,15,15,True
IN-06-1071,wheat,2003,2017,15,15,True
IN-06-1081,wheat,2003,2017,15,15,True
IN-06-1082,wheat,2003,2017,15,15,True
IN-06-2006,wheat,2008,2017,10,10,False
IN-06-2007,wheat,2008,2017,10,10,False
IN-06-2058,wheat,2013,2017,5,5,False
IN-07-0096,wheat,2003,2017,11,11,False
IN-07-0097,wheat,2015,2015,1,1,False
IN-07-0099,wheat,2003,2017,15,15,True
IN-07-0100,wheat,2003,2017,15,15,True
IN-07-0101,wheat,2003,2017,15,15,True
IN-07-0102,wheat,2003,2017,15,15,True
IN-07-0103,wheat,2003,2017,15,15,True
IN-07-0104,wheat,2003,2017,15,15,True
IN-07-0105,wheat,2003,2017,15,15,True
IN-07-0106,wheat,2003,2017,15,15,True
IN-07-0107,wheat,2003,2017,15,15,True
IN-07-0108,wheat,2003,2017,15,15,True
IN-07-0109,wheat,2003,2017,15,15,True
IN-07-0110,wheat,2003,2017,15,15,True
IN-07-0111,wheat,2003,2017,15,15,True
IN-07-0112,wheat,2003,2017,15,15,True
IN-07-0113,wheat,2003,2017,15,15,True
IN-07-0114,wheat,2003,2017,15,15,True
IN-07-0115,wheat,2003,2017,15,15,True
IN-07-0116,wheat,2003,2017,15,15,True
IN-07-0117,wheat,2003,2017,15,15,True
IN-07-0118,wheat,2003,2017,15,15,True
IN-07-0119,wheat,2003,2017,15,15,True
IN-07-0120,wheat,2003,2017,15,15,True
IN-07-0514,wheat,2003,2017,15,15,True
IN-07-0515,wheat,2003,2017,15,15,True
IN-07-0516,wheat,2003,2017,15,15,True
IN-07-1072,wheat,2003,2017,15,15,True
IN-07-1073,wheat,2003,2017,15,15,True
IN-07-1074,wheat,2003,2017,15,15,True
IN-07-1075,wheat,2003,2017,15,15,True
IN-07-2059,wheat,2015,2017,3,3,False
IN-08-0701,wheat,2003,2017,15,15,True
IN-08-0702,wheat,2003,2017,15,15,True
IN-08-0703,wheat,2003,2017,15,15,True
IN-08-0704,wheat,2003,2016,14,14,False
IN-08-0705,wheat,2003,2017,15,15,True
IN-08-0706,wheat,2003,2017,15,15,True
IN-08-0707,wheat,2003,2017,15,15,True
IN-08-0708,wheat,2003,2017,15,15,True
IN-08-0709,wheat,2003,2017,15,15,True
IN-08-0710,wheat,2003,2017,15,15,True
IN-08-0711,wheat,2003,2017,15,15,True
IN-08-0712,wheat,2003,2017,15,15,True
IN-08-0713,wheat,2003,2017,15,15,True
IN-08-0714,wheat,2003,2017,15,15,True
IN-08-0716,wheat,2003,2017,15,15,True
IN-08-0717,wheat,2003,2017,15,15,True
IN-08-0718,wheat,2003,2017,15,15,True
IN-08-0719,wheat,2003,2017,15,15,True
IN-08-0720,wheat,2003,2013,9,9,False
IN-08-0721,wheat,2003,2017,15,15,True
IN-08-0722,wheat,2003,2016,12,12,False
IN-08-0723,wheat,2003,2017,15,15,True
IN-08-0724,wheat,2003,2017,15,15,True
IN-08-0725,wheat,2003,2013,11,11,False
IN-08-0726,wheat,2003,2017,15,15,True
IN-08-0728,wheat,2003,2017,15,15,True
IN-08-0729,wheat,2003,2017,15,15,True
IN-08-0730,wheat,2003,2017,15,15,True
IN-08-0731,wheat,2003,2017,15,15,True
IN-08-0732,wheat,2003,2017,15,15,True
IN-09-0165,wheat,2003,2017,15,15,True
IN-09-0166,wheat,2003,2017,15,15,True
IN-09-0167,wheat,2003,2017,15,15,True
IN-09-0168,wheat,2003,2017,15,15,True
IN-09-0169,wheat,2003,2017,15,15,True
IN-09-0170,wheat,2003,2017,15,15,True
IN-09-0171,wheat,2003,2017,15,15,True
IN-09-0172,wheat,2003,2017,15,15,True
IN-09-0173,wheat,2003,2017,15,15,True
IN-09-0174,wheat,2003,2017,15,15,True
IN-09-0175,wheat,2003,2017,15,15,True
IN-09-0176,wheat,2003,2017,15,15,True
IN-09-0545,wheat,2003,2017,15,15,True
IN-09-0546,wheat,2003,2017,15,15,True
IN-09-1017,wheat,2003,2017,15,15,True
IN-09-1018,wheat,2003,2017,15,15,True
IN-09-1019,wheat,2003,2017,15,15,True
IN-09-2009,wheat,2005,2017,13,13,False
IN-09-2010,wheat,2006,2017,12,12,False
IN-09-2011,wheat,2005,2017,13,13,False
IN-09-2030,wheat,2012,2017,6,6,False
IN-09-2043,wheat,2012,2017,6,6,False
IN-10-0139,wheat,2003,2017,15,15,True
IN-10-0140,wheat,2003,2017,15,15,True
IN-10-0141,wheat,2003,2017,15,15,True
IN-10-0142,wheat,2003,2017,15,15,True
IN-10-0143,wheat,2003,2017,15,15,True
IN-10-0144,wheat,2003,2017,15,15,True
IN-10-0145,wheat,2003,2017,15,15,True
IN-10-0146,wheat,2003,2017,15,15,True
IN-10-0147,wheat,2003,2017,15,15,True
IN-10-0148,wheat,2003,2017,15,15,True
IN-10-0149,wheat,2003,2017,15,15,True
IN-10-0150,wheat,2003,2017,15,15,True
IN-10-0151,wheat,2003,2017,15,15,True
IN-10-0152,wheat,2003,2017,15,15,True
IN-10-0153,wheat,2003,2017,15,15,True
IN-10-0154,wheat,2003,2017,15,15,True
IN-10-0155,wheat,2003,2017,15,15,True
IN-10-0156,wheat,2003,2017,15,15,True
IN-10-0157,wheat,2003,2017,15,15,True
IN-10-0158,wheat,2003,2017,15,15,True
IN-10-0159,wheat,2003,2017,15,15,True
IN-10-0160,wheat,2003,2017,15,15,True
IN-10-0161,wheat,2003,2017,15,15,True
IN-10-0162,wheat,2003,2017,15,15,True
IN-10-0163,wheat,2003,2017,15,15,True
IN-10-0164,wheat,2003,2017,15,15,True
IN-10-0519,wheat,2003,2017,15,15,True
IN-10-0536,wheat,2003,2017,15,15,True
IN-10-0537,wheat,2003,2017,15,15,True
IN-10-0538,wheat,2003,2017,15,15,True
IN-10-0539,wheat,2003,2017,15,15,True
IN-10-1020,wheat,2003,2017,15,15,True
IN-10-2012,wheat,2008,2017,10,10,False
IN-12-0189,wheat,2003,2017,15,15,True
IN-12-0190,wheat,2003,2017,15,15,True
IN-12-0191,wheat,2003,2017,15,15,True
IN-12-0192,wheat,2003,2017,15,15,True
IN-12-0193,wheat,2003,2017,15,15,True
IN-12-0194,wheat,2003,2017,15,15,True
IN-12-0195,wheat,2003,2017,15,15,True
IN-12-0196,wheat,2003,2017,15,15,True
IN-12-0197,wheat,2003,2017,15,15,True
IN-12-0198,wheat,2003,2017,15,15,True
IN-12-0199,wheat,2003,2017,15,15,True
IN-12-0200,wheat,2003,2017,15,15,True
IN-12-0201,wheat,2003,2017,15,15,True
IN-12-0202,wheat,2003,2017,15,15,True
IN-12-0203,wheat,2003,2017,15,15,True
IN-12-0204,wheat,2003,2017,15,15,True
IN-12-0205,wheat,2003,2017,15,15,True
IN-12-0206,wheat,2003,2017,15,15,True
IN-12-0207,wheat,2003,2017,15,15,True
IN-12-0209,wheat,2003,2017,15,15,True
IN-12-0210,wheat,2003,2017,15,15,True
IN-12-0211,wheat,2003,2017,15,15,True
IN-12-0212,wheat,2003,2017,15,15,True
IN-12-0213,wheat,2003,2017,15,15,True
IN-12-0214,wheat,2003,2017,15,15,True
IN-12-0215,wheat,2003,2017,15,15,True
IN-12-0216,wheat,2003,2017,15,15,True
IN-12-0217,wheat,2003,2017,15,15,True
IN-12-0218,wheat,2003,2017,15,15,True
IN-12-0219,wheat,2003,2017,15,15,True
IN-12-0220,wheat,2003,2017,15,15,True
IN-12-0221,wheat,2003,2017,15,15,True
IN-12-0222,wheat,2003,2017,15,15,True
IN-12-0223,wheat,2003,2017,15,15,True
IN-12-0224,wheat,2003,2017,15,15,True
IN-12-0225,wheat,2003,2017,15,15,True
IN-12-0226,wheat,2003,2017,15,15,True
IN-12-0227,wheat,2003,2017,15,15,True
IN-12-0228,wheat,2003,2017,15,15,True
IN-12-0229,wheat,2003,2017,15,15,True
IN-12-0230,wheat,2003,2017,15,15,True
IN-12-0231,wheat,2003,2017,15,15,True
IN-12-0232,wheat,2003,2017,15,15,True
IN-12-0233,wheat,2003,2017,15,15,True
IN-12-0234,wheat,2003,2017,15,15,True
IN-12-0235,wheat,2003,2017,15,15,True
IN-12-0236,wheat,2003,2017,15,15,True
IN-12-0528,wheat,2003,2017,15,15,True
IN-12-0529,wheat,2003,2017,15,15,True
IN-12-0530,wheat,2003,2017,15,15,True
IN-12-0531,wheat,2003,2017,15,15,True
IN-12-0532,wheat,2003,2017,15,15,True
IN-12-0533,wheat,2003,2017,14,14,False
IN-12-0547,wheat,2003,2017,15,15,True
IN-12-0548,wheat,2003,2017,15,15,True
IN-12-1028,wheat,2003,2017,15,15,True
IN-12-1029,wheat,2003,2017,15,15,True
IN-12-1031,wheat,2003,2017,15,15,True
IN-12-1033,wheat,2003,2017,15,15,True
IN-12-1034,wheat,2003,2017,15,15,True
IN-12-1036,wheat,2003,2017,15,15,True
IN-12-1037,wheat,2003,2017,15,15,True
IN-12-1038,wheat,2003,2017,15,15,True
IN-12-1039,wheat,2003,2017,15,15,True
IN-12-1040,wheat,2003,2017,15,15,True
IN-12-1041,wheat,2003,2017,15,15,True
IN-12-1042,wheat,2003,2017,15,15,True
IN-12-1044,wheat,2003,2017,15,15,True
IN-12-1045,wheat,2003,2017,15,15,True
IN-12-1046,wheat,2003,2017,15,15,True
IN-12-2013,wheat,2008,2017,10,10,False
IN-12-2026,wheat,2010,2017,8,8,False
IN-12-2031,wheat,2011,2017,7,7,False
IN-12-2032,wheat,2011,2017,7,7,False
IN-12-2033,wheat,2011,2017,7,7,False
IN-13-0801,wheat,2003,2017,15,15,True
IN-13-0802,wheat,2003,2017,15,15,True
IN-13-0803,wheat,2003,2016,14,14,False
IN-13-0804,wheat,2003,2017,15,15,True
IN-13-0805,wheat,2003,2017,15,15,True
IN-13-0806,wheat,2003,2017,15,15,True
IN-13-0807,wheat,2003,2017,15,15,True
IN-13-0810,wheat,2003,2017,15,15,True
IN-13-0814,wheat,2003,2017,15,15,True
IN-13-0816,wheat,2003,2017,15,15,True
IN-13-0817,wheat,2003,2017,15,15,True
IN-13-0819,wheat,2003,2017,15,15,True
IN-13-0820,wheat,2003,2017,15,15,True
IN-13-0824,wheat,2003,2017,15,15,True
IN-13-2061,wheat,2016,2017,2,2,False
IN-13-2063,wheat,2016,2017,2,2,False
IN-14-0001,wheat,2003,2017,15,15,True
IN-14-0002,wheat,2003,2017,15,15,True
IN-14-0003,wheat,2003,2017,15,15,True
IN-14-0004,wheat,2003,2017,15,15,True
IN-14-0005,wheat,2003,2017,15,15,True
IN-14-0006,wheat,2003,2017,15,15,True
IN-14-0501,wheat,2003,2017,15,15,True
IN-14-1055,wheat,2003,2017,13,13,False
IN-14-1056,wheat,2003,2017,15,15,True
IN-14-1059,wheat,2003,2017,15,15,True
IN-14-1065,wheat,2003,2017,15,15,True
IN-14-1066,wheat,2003,2017,15,15,True
IN-14-1067,wheat,2003,2017,15,15,True
IN-14-1068,wheat,2003,2017,15,15,True
IN-14-1069,wheat,2003,2017,15,15,True
IN-14-1070,wheat,2003,2017,15,15,True
IN-14-2015,wheat,2007,2017,10,10,False
IN-14-2034,wheat,2011,2017,7,7,False
IN-14-2035,wheat,2011,2017,7,7,False
IN-14-2036,wheat,2011,2017,7,7,False
IN-14-2037,wheat,2011,2017,7,7,False
IN-14-2038,wheat,2011,2017,7,7,False
IN-14-2039,wheat,2011,2017,7,7,False
IN-14-2040,wheat,2011,2017,7,7,False
IN-14-2041,wheat,2016,2017,2,2,False
IN-14-2042,wheat,2011,2017,7,7,False
IN-15-0910,wheat,2003,2016,14,14,False
IN-15-0913,wheat,2003,2016,14,14,False
IN-15-0914,wheat,2003,2016,14,14,False
IN-15-0915,wheat,2003,2016,14,14,False
IN-15-0916,wheat,2003,2016,14,14,False
IN-15-0933,wheat,2003,2016,14,14,False
IN-15-0937,wheat,2003,2016,14,14,False
IN-15-0938,wheat,2003,2016,14,14,False
IN-15-0940,wheat,2003,2016,14,14,False
IN-15-0941,wheat,2003,2016,14,14,False
IN-15-0942,wheat,2003,2016,14,14,False
IN-15-0943,wheat,2003,2016,14,14,False
IN-15-0944,wheat,2003,2016,14,14,False
IN-15-0952,wheat,2003,2016,14,14,False
IN-15-0953,wheat,2003,2016,14,14,False
IN-15-0954,wheat,2003,2016,14,14,False
IN-15-0955,wheat,2003,2016,14,14,False
IN-15-0957,wheat,2003,2016,14,14,False
IN-15-0962,wheat,2003,2016,14,14,False
IN-15-0963,wheat,2003,2016,14,14,False
IN-15-0964,wheat,2003,2016,14,14,False
IN-15-0965,wheat,2003,2016,14,14,False
IN-15-2023,wheat,2008,2016,9,9,False
IN-15-2024,wheat,2008,2016,9,9,False
IN-16-0237,wheat,2003,2017,15,15,True
IN-16-0238,wheat,2003,2017,15,15,True
IN-16-0239,wheat,2003,2017,15,15,True
IN-16-0240,wheat,2003,2017,15,15,True
IN-16-0241,wheat,2003,2017,15,15,True
IN-16-0242,wheat,2003,2017,15,15,True
IN-16-0243,wheat,2003,2017,15,15,True
IN-16-0244,wheat,2003,2017,15,15,True
IN-16-0527,wheat,2003,2017,15,15,True
IN-16-1030,wheat,2003,2017,15,15,True
IN-16-1032,wheat,2003,2017,15,15,True
IN-16-1043,wheat,2003,2017,15,15,True
IN-17-0601,wheat,2003,2017,15,15,True
IN-17-0602,wheat,2003,2017,15,15,True
IN-17-0603,wheat,2003,2017,14,14,False
IN-17-0604,wheat,2003,2017,15,15,True
IN-17-0605,wheat,2003,2017,15,15,True
IN-17-0606,wheat,2003,2017,15,15,True
IN-17-0607,wheat,2003,2017,15,15,True
IN-17-0608,wheat,2003,2014,10,10,False
IN-17-0609,wheat,2003,2017,15,15,True
IN-17-0610,wheat,2003,2017,15,15,True
IN-17-0615,wheat,2003,2017,15,15,True
IN-17-0616,wheat,2003,2017,15,15,True
IN-17-0617,wheat,2003,2017,15,15,True
IN-17-0618,wheat,2003,2017,15,15,True
IN-17-0619,wheat,2004,2017,13,13,False
IN-17-0620,wheat,2003,2017,15,15,True
IN-17-0621,wheat,2003,2017,15,15,True
IN-17-0622,wheat,2003,2017,15,15,True
IN-17-1047,wheat,2003,2017,15,15,True
IN-17-1048,wheat,2003,2017,15,15,True
IN-17-1049,wheat,2004,2010,5,5,False
IN-17-1050,wheat,2003,2017,15,15,True
IN-17-1051,wheat,2003,2017,15,15,True
IN-17-2017,wheat,2005,2017,12,12,False
IN-17-2018,wheat,2005,2017,13,13,False
IN-17-2019,wheat,2005,2017,13,13,False
IN-17-2028,wheat,2009,2017,9,9,False
IN-18-0626,wheat,2003,2017,15,15,True
IN-18-0627,wheat,2003,2017,15,15,True
IN-18-0628,wheat,2003,2017,15,15,True
IN-18-0629,wheat,2003,2017,15,15,True
IN-18-0631,wheat,2003,2017,15,15,True
IN-18-0633,wheat,2003,2017,15,15,True
IN-18-0634,wheat,2003,2017,15,15,True
IN-18-0635,wheat,2003,2017,15,15,True
IN-18-0636,wheat,2003,2017,15,15,True
IN-18-0637,wheat,2003,2017,15,15,True
IN-19-0654,wheat,2016,2017,2,2,False
IN-20-0056,wheat,2003,2017,15,15,True
IN-20-0057,wheat,2003,2017,15,15,True
IN-20-0058,wheat,2003,2017,12,12,False
IN-20-0059,wheat,2016,2016,1,1,False
IN-20-0060,wheat,2003,2010,6,6,False
IN-20-0062,wheat,2003,2012,9,9,False
IN-20-0063,wheat,2003,2017,15,15,True
IN-20-0520,wheat,2003,2017,15,15,True
IN-20-2101,wheat,2016,2017,2,2,False
IN-20-2102,wheat,2016,2016,1,1,False
IN-20-2103,wheat,2016,2017,2,2,False
IN-20-2111,wheat,2016,2017,2,2,False
IN-20-2112,wheat,2016,2017,2,2,False
IN-20-2114,wheat,2016,2016,1,1,False
IN-20-2115,wheat,2016,2017,2,2,False
IN-20-2116,wheat,2016,2016,1,1,False
IN-20-2117,wheat,2016,2017,2,2,False
